ID_SCENARIO,vento_medio,std_vento,zavorra,angolo_rampa,delay_secondi,SIM_N,ANGOLO_ACC_C6,INCLINAZIONE
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,1,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,2,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,3,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,4,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,5,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,6,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,7,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,8,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,9,,
V4.0_T0.15_Z0,4.0,0.6,0,-12.0,1.2,10,,
